,Quarterly Data | Millions of US $ except per share data,,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
0,Revenue,,"$16,886","$15,077","$16,914","$13,727","$13,231","$11,966","$12,972","$10,328","$9,321","$8,032","$8,809"
1,Cost Of Goods Sold,,"$3,307","$2,816","$2,796","$2,418","$2,214","$1,927","$1,610","$1,448","$1,237","$1,159","$1,047"
2,Gross Profit,,"$13,579","$12,261","$14,118","$11,309","$11,017","$10,039","$11,362","$8,880","$8,084","$6,873","$7,762"
3,Research And Development Expenses,,"$3,315","$2,860","$2,855","$2,657","$2,523","$2,238","$1,949","$2,052","$1,919","$1,834","$1,563"
4,SG&A Expenses,,"$5,638","$6,084","$3,443","$2,871","$2,631","$2,352","$2,060","$1,706","$1,764","$1,712","$1,633"
5,Other Operating Income Or Expenses,,-,-,-,-,-,-,-,-,-,-,-
6,Operating Expenses,,"$12,260","$11,760","$9,094","$7,946","$7,368","$6,517","$5,619","$5,206","$4,920","$4,705","$4,243"
7,Operating Income,,"$4,626","$3,317","$7,820","$5,781","$5,863","$5,449","$7,353","$5,122","$4,401","$3,327","$4,566"
8,Total Non-Operating Income/Expense,,$206,$165,$151,$131,$5,$161,$109,$114,$87,$81,$-32
9,Pre-Tax Income,,"$4,832","$3,482","$7,971","$5,912","$5,868","$5,610","$7,462","$5,236","$4,488","$3,408","$4,534"
10,Income Taxes,,"$2,216","$1,053","$1,090",$775,$762,$622,"$3,193",$529,$594,$344,$965
11,Income After Taxes,,"$2,616","$2,429","$6,881","$5,137","$5,106","$4,988","$4,269","$4,707","$3,894","$3,064","$3,569"
12,Other Income,,-,-,-,-,-,-,-,-,-,-,-
13,Income From Continuous Operations,,"$2,616","$2,429","$6,881","$5,137","$5,106","$4,988","$4,269","$4,707","$3,894","$3,064","$3,569"
14,Income From Discontinued Operations,,-,-,-,-,-,-,-,-,-,-,-
15,Net Income,,"$2,616","$2,429","$6,881","$5,137","$5,106","$4,987","$4,267","$4,704","$3,890","$3,059","$3,560"
16,EBITDA,,"$6,128","$4,672","$9,045","$6,888","$6,897","$6,398","$8,206","$5,894","$5,130","$3,998","$5,180"
17,EBIT,,"$4,626","$3,317","$7,820","$5,781","$5,863","$5,449","$7,353","$5,122","$4,401","$3,327","$4,566"
18,Basic Shares Outstanding,,"2,855","2,856","2,890","2,885","2,895","2,906","2,901","2,904","2,900","2,891","2,863"
19,Shares Outstanding,,"2,875","2,869","2,921","2,913","2,930","2,945","2,956","2,956","2,951","2,944","2,925"
20,Basic EPS,,$0.92,$0.85,$2.39,$1.78,$1.76,$1.72,$1.47,$1.62,$1.34,$1.06,$1.24
21,EPS - Earnings Per Share,,$0.91,$0.85,$2.38,$1.76,$1.74,$1.69,$1.44,$1.59,$1.32,$1.04,$1.21
22,Cash On Hand,,"$48,596","$45,243","$41,114","$41,206","$42,309","$43,956","$41,711","$38,289","$35,452","$32,306","$29,449"
23,Notes And Loans Receivable,,-,-,-,-,-,-,-,-,-,-,-
24,Inventory,,-,-,-,-,-,-,-,-,-,-,-
25,Other Current Assets,,-,-,-,-,-,-,-,-,-,-,-
26,Total Current Assets,,"$57,961","$53,300","$50,480","$49,147","$49,833","$50,412","$48,563","$44,203","$40,804","$36,930","$34,401"
27,"Property, Plant, And Equipment",,"$29,999","$27,345","$24,683","$21,112","$18,357","$16,211","$13,721","$12,158","$10,628","$9,462","$8,591"
28,Long-Term Investments,,-,-,-,-,-,-,-,-,-,-,-
29,Goodwill And Intangible Assets,,"$19,328","$19,483","$19,595","$19,755","$19,836","$20,003","$20,105","$20,263","$20,315","$20,486","$20,657"
30,Other Long-Term Assets,,"$9,718","$9,349","$2,576","$2,438","$2,265","$2,319","$2,135","$2,374","$2,096","$1,836","$1,312"
31,Total Long-Term Assets,,"$59,045","$56,177","$46,854","$43,305","$40,458","$38,533","$35,961","$34,795","$33,039","$31,784","$30,560"
32,Total Assets,,"$117,006","$109,477","$97,334","$92,452","$90,291","$88,945","$84,524","$78,998","$73,843","$68,714","$64,961"
33,Total Current Liabilities,,"$12,979","$9,908","$7,017","$5,462","$4,670","$5,086","$3,760","$3,305","$3,315","$2,928","$2,875"
34,Long Term Debt,,"$7,122","$6,565",-,-,-,-,-,-,-,-,-
35,Other Non-Current Liabilities,,"$8,143","$6,488","$6,190","$6,648","$6,239","$6,239","$6,417","$4,485","$4,047","$3,598","$2,892"
36,Total Long Term Liabilities,,"$15,265","$13,053","$6,190","$6,648","$6,239","$6,239","$6,417","$4,485","$4,047","$3,598","$2,892"
37,Total Liabilities,,"$28,244","$22,961","$13,207","$12,110","$10,909","$11,325","$10,177","$7,790","$7,362","$6,526","$5,767"
38,Common Stock Net,,-,-,-,-,-,-,-,-,-,-,-
39,Retained Earnings (Accumulated Deficit),,"$44,968","$43,764","$41,981","$38,767","$38,237","$36,780","$33,990","$31,209","$27,560","$24,175","$21,670"
40,Comprehensive Income,,$-483,$-781,$-760,$-777,$-687,$-294,$-227,$-200,$-370,$-626,$-703
41,Other Share Holders Equity,,-,-,-,-,-,-,-,-,-,-,-
42,Share Holder Equity,,"$88,762","$86,516","$84,127","$80,342","$79,382","$77,620","$74,347","$71,208","$66,481","$62,188","$59,194"
43,Total Liabilities And Share Holders Equity,,"$117,006","$109,477","$97,334","$92,452","$90,291","$88,945","$84,524","$78,998","$73,843","$68,714","$64,961"
